Модель,MSE,R²,Accuracy
Линейная регрессия,602.1283772842557,0.6326605466307416,
Ridge регрессия,630.1859948039557,0.6155434827763258,
Полиномиальная регрессия,709.4315645079697,0.5671982704342315,
Логистическая регрессия,,,0.8258426966292135
L1 логистическая,,,0.8146067415730337
Стандартизованная логистическая,,,0.7808988764044944
